"","ID","GALGAL","GOterm","fullgo"
"43","GALGAL_R00043","GALGAL_R00043",3,"GO:0000502; proteasome complex; component GO:0030234; enzyme regulator activity; function GO:0042176; regulation of protein catabolic process; process               NA"
"44","GALGAL_R00044","GALGAL_R00044",1,"GO:0005634; nucleus; component                 NA"
"45","GALGAL_R00045","GALGAL_R00045",2,"GO:0005200; structural constituent of cytoskeleton; function GO:0005882; intermediate filament; component                NA"
"46","GALGAL_R00048","GALGAL_R00048",7,"GO:0005216; ion channel activity; function GO:0005249; voltage-gated potassium channel activity; function GO:0006811; ion transport; process GO:0006813; potassium ion transport; process GO:0016020; membrane; component GO:0016021; integral component of membrane; component GO:0055085; transmembrane transport; process           NA"
"47","GALGAL_R00049","GALGAL_R00049",4,"GO:0003735; structural constituent of ribosome; function GO:0005622; intracellular; component GO:0005840; ribosome; component GO:0006412; translation; process              NA"
"48","GALGAL_R00050","GALGAL_R00050",1,"GO:0008537; proteasome activator complex; component                 NA"
"49","GALGAL_R00051","GALGAL_R00051",1,"GO:0055085; transmembrane transport; process                 NA"
"50","GALGAL_R00052",NA,NA,"                 NA"
"51","GALGAL_R00053","GALGAL_R00053",2,"GO:0005576; extracellular region; component GO:0007339; binding of sperm to zona pellucida; process                NA"
"52","GALGAL_R00054","GALGAL_R00054",1,"GO:0003676; nucleic acid binding; function                 NA"
"53","GALGAL_R00055","GALGAL_R00055",5,"GO:0005884; actin filament; component GO:0007010; cytoskeleton organization; process GO:0008017; microtubule binding; function GO:0008360; regulation of cell shape; process GO:0045010; actin nucleation; process             NA"
"54","GALGAL_R00056","GALGAL_R00056",4,"GO:0006886; intracellular protein transport; process GO:0008277; regulation of G-protein coupled receptor protein signaling pathway; process GO:0008565; protein transporter activity; function GO:0016021; integral component of membrane; component              NA"
"55","GALGAL_R00059","GALGAL_R00059",2,"GO:0005200; structural constituent of cytoskeleton; function GO:0005882; intermediate filament; component                NA"
"56","GALGAL_R00063","GALGAL_R00063",3,"GO:0001558; regulation of cell growth; process GO:0005520; insulin-like growth factor binding; function GO:0005576; extracellular region; component               NA"
"57","GALGAL_R00064",NA,NA,"                 NA"
"58","GALGAL_R00065","GALGAL_R00065",1,"GO:0016020; membrane; component                 NA"
"59","GALGAL_R00066","GALGAL_R00066",5,"GO:0003677; DNA binding; function GO:0003700; DNA binding transcription factor activity; function GO:0005634; nucleus; component GO:0006355; regulation of transcription, DNA-templated; process GO:0043565; sequence-specific DNA binding; function             NA"
"60","GALGAL_R00068","GALGAL_R00068",1,"GO:0005509; calcium ion binding; function                 NA"
"61","GALGAL_R00069","GALGAL_R00069",2,"GO:0005179; hormone activity; function GO:0005576; extracellular region; component                NA"
"62","GALGAL_R00070","GALGAL_R00070",1,"GO:0016491; oxidoreductase activity; function                 NA"
"63","GALGAL_R00071","GALGAL_R00071",2,"GO:0004222; metalloendopeptidase activity; function GO:0006508; proteolysis; process                NA"
"64","GALGAL_R00072","GALGAL_R00072",2,"GO:0004864; protein phosphatase inhibitor activity; function GO:0007165; signal transduction; process                NA"
"65","GALGAL_R00073","GALGAL_R00073",5,"GO:0003677; DNA binding; function GO:0003700; DNA binding transcription factor activity; function GO:0005634; nucleus; component GO:0006355; regulation of transcription, DNA-templated; process GO:0043565; sequence-specific DNA binding; function             NA"
"66","GALGAL_R00074",NA,NA,"                 NA"
"67","GALGAL_R00076","GALGAL_R00076",1,"GO:0000123; histone acetyltransferase complex; component                 NA"
"68","GALGAL_R00077","GALGAL_R00077",3,"GO:0005125; cytokine activity; function GO:0005576; extracellular region; component GO:0006955; immune response; process               NA"
"69","GALGAL_R00078","GALGAL_R00078",3,"GO:0003924; GTPase activity; function GO:0005834; heterotrimeric G-protein complex; component GO:0007186; G-protein coupled receptor signaling pathway; process               NA"
"70","GALGAL_R00079","GALGAL_R00079",3,"GO:0004140; dephospho-CoA kinase activity; function GO:0005524; ATP binding; function GO:0015937; coenzyme A biosynthetic process; process               NA"
"71","GALGAL_R00080","GALGAL_R00080",2,"GO:0043231; intracellular membrane-bounded organelle; component GO:0051537; 2 iron, 2 sulfur cluster binding; function                NA"
"72","GALGAL_R00081","GALGAL_R00081",2,"GO:0003743; translation initiation factor activity; function GO:0006413; translational initiation; process                NA"
"73","GALGAL_R00082","GALGAL_R00082",2,"GO:0005070; SH3/SH2 adaptor activity; function GO:0007165; signal transduction; process                NA"
"74","GALGAL_R00083","GALGAL_R00083",3,"GO:0003677; DNA binding; function GO:0006355; regulation of transcription, DNA-templated; process GO:0043565; sequence-specific DNA binding; function               NA"
"75","GALGAL_R00084","GALGAL_R00084",4,"GO:0003677; DNA binding; function GO:0003700; DNA binding transcription factor activity; function GO:0006355; regulation of transcription, DNA-templated; process GO:0043565; sequence-specific DNA binding; function              NA"
"76","GALGAL_R00087",NA,NA,"                 NA"
"77","GALGAL_R00088","GALGAL_R00088",1,"GO:0005515; protein binding; function                 NA"
"78","GALGAL_R00089","GALGAL_R00089",2,"GO:0003676; nucleic acid binding; function GO:0005524; ATP binding; function                NA"
"79","GALGAL_R00090","GALGAL_R00090",1,"GO:0046872; metal ion binding; function                 NA"
"80","GALGAL_R00091","GALGAL_R00091",4,"GO:0004672; protein kinase activity; function GO:0005515; protein binding; function GO:0005524; ATP binding; function GO:0006468; protein phosphorylation; process              NA"
"81","GALGAL_R00092","GALGAL_R00092",1,"GO:0005515; protein binding; function                 NA"
"82","GALGAL_R00093","GALGAL_R00093",4,"GO:0006508; proteolysis; process GO:0008237; metallopeptidase activity; function GO:0008241; peptidyl-dipeptidase activity; function GO:0016020; membrane; component              NA"
"83","GALGAL_R00094","GALGAL_R00094",1,"GO:0007283; spermatogenesis; process                 NA"
"84","GALGAL_R00095","GALGAL_R00095",2,"GO:0003676; nucleic acid binding; function GO:0008270; zinc ion binding; function                NA"
"85","GALGAL_R00096","GALGAL_R00096",4,"GO:0003779; actin binding; function GO:0007010; cytoskeleton organization; process GO:0008360; regulation of cell shape; process GO:0016043; cellular component organization; process              NA"
"86","GALGAL_R00097","GALGAL_R00097",4,"GO:0003774; motor activity; function GO:0005515; protein binding; function GO:0005524; ATP binding; function GO:0016459; myosin complex; component              NA"
"87","GALGAL_R00098","GALGAL_R00098",4,"GO:0003735; structural constituent of ribosome; function GO:0005622; intracellular; component GO:0005840; ribosome; component GO:0006412; translation; process              NA"
"88","GALGAL_R00099","GALGAL_R00099",1,"GO:0008289; lipid binding; function                 NA"
"89","GALGAL_R00100","GALGAL_R00100",1,"GO:0008168; methyltransferase activity; function                 NA"
"90","GALGAL_R00101",NA,NA,"                 NA"
"91","GALGAL_R00102","GALGAL_R00102",2,"GO:0005576; extracellular region; component GO:0007339; binding of sperm to zona pellucida; process                NA"
"92","GALGAL_R00103","GALGAL_R00103",4,"GO:0005789; endoplasmic reticulum membrane; component GO:0006672; ceramide metabolic process; process GO:0016021; integral component of membrane; component GO:0090156; cellular sphingolipid homeostasis; process              NA"
"93","GALGAL_R00104",NA,NA,"                 NA"
"94","GALGAL_R00105","GALGAL_R00105",3,"GO:0003723; RNA binding; function GO:0006397; mRNA processing; process GO:0035145; exon-exon junction complex; component               NA"
"95","GALGAL_R00106","GALGAL_R00106",3,"GO:0004113; 2',3'-cyclic-nucleotide 3'-phosphodiesterase activity; function GO:0009214; cyclic nucleotide catabolic process; process GO:0016020; membrane; component               NA"
"96","GALGAL_R00107",NA,NA,"                 NA"
"97","GALGAL_R00108","GALGAL_R00108",2,"GO:0000814; ESCRT II complex; component GO:0071985; multivesicular body sorting pathway; process                NA"
"98","GALGAL_R00109","GALGAL_R00109",3,"GO:0015078; proton transmembrane transporter activity; function GO:0015991; ATP hydrolysis coupled proton transport; process GO:0033179; proton-transporting V-type ATPase, V0 domain; component               NA"
"99","GALGAL_R00110",NA,NA,"                 NA"
"100","GALGAL_R00111","GALGAL_R00111",3,"GO:0006355; regulation of transcription, DNA-templated; process GO:0008134; transcription factor binding; function GO:0046983; protein dimerization activity; function               NA"
"101","GALGAL_R00112",NA,NA,"                 NA"
"102","GALGAL_R00113","GALGAL_R00113",6,"GO:0005507; copper ion binding; function GO:0007601; visual perception; process GO:0008131; primary amine oxidase activity; function GO:0009308; amine metabolic process; process GO:0048038; quinone binding; function GO:0055114; oxidation-reduction process; process            NA"
"103","GALGAL_R00114","GALGAL_R00114",6,"GO:0005507; copper ion binding; function GO:0007601; visual perception; process GO:0008131; primary amine oxidase activity; function GO:0009308; amine metabolic process; process GO:0048038; quinone binding; function GO:0055114; oxidation-reduction process; process            NA"
"104","GALGAL_R00115",NA,NA,"                 NA"
"105","GALGAL_R00116",NA,NA,"                 NA"
"106","GALGAL_R00117","GALGAL_R00117",4,"GO:0003700; DNA binding transcription factor activity; function GO:0005634; nucleus; component GO:0006355; regulation of transcription, DNA-templated; process GO:0043565; sequence-specific DNA binding; function              NA"
"107","GALGAL_R00118","GALGAL_R00118",2,"GO:0005615; extracellular space; component GO:0030279; negative regulation of ossification; process                NA"
"108","GALGAL_R00119","GALGAL_R00119",5,"GO:0004725; protein tyrosine phosphatase activity; function GO:0006470; protein dephosphorylation; process GO:0008138; protein tyrosine/serine/threonine phosphatase activity; function GO:0016311; dephosphorylation; process GO:0016791; phosphatase activity; function             NA"
"109","GALGAL_R00120","GALGAL_R00120",1,"GO:0005515; protein binding; function                 NA"
"110","GALGAL_R00121","GALGAL_R00121",3,"GO:0004579; dolichyl-diphosphooligosaccharide-protein glycotransferase activity; function GO:0008250; oligosaccharyltransferase complex; component GO:0016021; integral component of membrane; component               NA"
"111","GALGAL_R00122",NA,NA,"                 NA"
"112","GALGAL_R00123","GALGAL_R00123",5,"GO:0005178; integrin binding; function GO:0007155; cell adhesion; process GO:0007229; integrin-mediated signaling pathway; process GO:0008305; integrin complex; component GO:0070527; platelet aggregation; process             NA"
"113","GALGAL_R00124","GALGAL_R00124",6,"GO:0004888; transmembrane signaling receptor activity; function GO:0004930; G-protein coupled receptor activity; function GO:0007166; cell surface receptor signaling pathway; process GO:0007186; G-protein coupled receptor signaling pathway; process GO:0016020; membrane; component GO:0016021; integral component of membrane; component            NA"
"114","GALGAL_R00125","GALGAL_R00125",4,"GO:0003677; DNA binding; function GO:0003700; DNA binding transcription factor activity; function GO:0006355; regulation of transcription, DNA-templated; process GO:0043565; sequence-specific DNA binding; function              NA"
"115","GALGAL_R00126","GALGAL_R00126",5,"GO:0003677; DNA binding; function GO:0003700; DNA binding transcription factor activity; function GO:0005634; nucleus; component GO:0006355; regulation of transcription, DNA-templated; process GO:0043565; sequence-specific DNA binding; function             NA"
"116","GALGAL_R00127","GALGAL_R00127",4,"GO:0003677; DNA binding; function GO:0003700; DNA binding transcription factor activity; function GO:0006355; regulation of transcription, DNA-templated; process GO:0043565; sequence-specific DNA binding; function              NA"
"117","GALGAL_R00129","GALGAL_R00129",3,"GO:0003677; DNA binding; function GO:0006355; regulation of transcription, DNA-templated; process GO:0043565; sequence-specific DNA binding; function               NA"
"118","GALGAL_R00130","GALGAL_R00130",3,"GO:0004672; protein kinase activity; function GO:0005524; ATP binding; function GO:0006468; protein phosphorylation; process               NA"
"119","GALGAL_R00131",NA,NA,"                 NA"
"120","GALGAL_R00132","GALGAL_R00132",1,"GO:0005509; calcium ion binding; function                 NA"
"121","GALGAL_R00134","GALGAL_R00134",2,"GO:0005200; structural constituent of cytoskeleton; function GO:0005882; intermediate filament; component                NA"
"122","GALGAL_R00137","GALGAL_R00137",4,"GO:0003924; GTPase activity; function GO:0005525; GTP binding; function GO:0007165; signal transduction; process GO:0016020; membrane; component              NA"
"123","GALGAL_R00142","GALGAL_R00142",5,"GO:0003735; structural constituent of ribosome; function GO:0005622; intracellular; component GO:0005840; ribosome; component GO:0006412; translation; process GO:0019843; rRNA binding; function             NA"
"124","GALGAL_R00144","GALGAL_R00144",1,"GO:0016409; palmitoyltransferase activity; function                 NA"
"125","GALGAL_R00145","GALGAL_R00145",3,"GO:0016491; oxidoreductase activity; function GO:0046983; protein dimerization activity; function GO:0055114; oxidation-reduction process; process               NA"
"126","GALGAL_R00146","GALGAL_R00146",3,"GO:0004930; G-protein coupled receptor activity; function GO:0007186; G-protein coupled receptor signaling pathway; process GO:0016021; integral component of membrane; component               NA"
"127","GALGAL_R00147","GALGAL_R00147",4,"GO:0003777; microtubule motor activity; function GO:0005524; ATP binding; function GO:0007018; microtubule-based movement; process GO:0008017; microtubule binding; function              NA"
"128","GALGAL_R00148","GALGAL_R00148",1,"GO:0007165; signal transduction; process                 NA"
"129","GALGAL_R00149","GALGAL_R00149",1,"GO:0016747; transferase activity, transferring acyl groups other than amino-acyl groups; function                 NA"
"130","GALGAL_R00150","GALGAL_R00150",2,"GO:0007165; signal transduction; process GO:0008289; lipid binding; function                NA"
"131","GALGAL_R00151","GALGAL_R00151",10,"GO:0003677; DNA binding; function GO:0003700; DNA binding transcription factor activity; function GO:0003707; steroid hormone receptor activity; function GO:0004882; androgen receptor activity; function GO:0005496; steroid binding; function GO:0005634; nucleus; component GO:0006355; regulation of transcription, DNA-templated; process GO:0008270; zinc ion binding; function GO:0030521; androgen receptor signaling pathway; process GO:0043565; sequence-specific DNA binding; function        NA"
"132","GALGAL_R00152","GALGAL_R00152",2,"GO:0005856; cytoskeleton; component GO:0008092; cytoskeletal protein binding; function                NA"
"133","GALGAL_R00153","GALGAL_R00153",4,"GO:0001541; ovarian follicle development; process GO:0005615; extracellular space; component GO:0008083; growth factor activity; function GO:0060016; granulosa cell development; process              NA"
"134","GALGAL_R00154","GALGAL_R00154",2,"GO:0005516; calmodulin binding; function GO:0005977; glycogen metabolic process; process                NA"
"135","GALGAL_R00155","GALGAL_R00155",5,"GO:0003723; RNA binding; function GO:0003735; structural constituent of ribosome; function GO:0005622; intracellular; component GO:0005840; ribosome; component GO:0006412; translation; process             NA"
"136","GALGAL_R00156","GALGAL_R00156",9,"GO:0004888; transmembrane signaling receptor activity; function GO:0005216; ion channel activity; function GO:0005230; extracellular ligand-gated ion channel activity; function GO:0005887; integral component of plasma membrane; component GO:0006811; ion transport; process GO:0016021; integral component of membrane; component GO:0016594; glycine binding; function GO:0022824; transmitter-gated ion channel activity; function GO:0034220; ion transmembrane transport; process         NA"
"137","GALGAL_R00157","GALGAL_R00157",6,"GO:0004672; protein kinase activity; function GO:0004713; protein tyrosine kinase activity; function GO:0005515; protein binding; function GO:0005524; ATP binding; function GO:0006468; protein phosphorylation; process GO:0035556; intracellular signal transduction; process            NA"
"138","GALGAL_R00158",NA,NA,"                 NA"
"139","GALGAL_R00159","GALGAL_R00159",2,"GO:0005669; transcription factor TFIID complex; component GO:0006367; transcription initiation from RNA polymerase II promoter; process                NA"
"140","GALGAL_R00160","GALGAL_R00160",1,"GO:0005515; protein binding; function                 NA"
"141","GALGAL_R00161","GALGAL_R00161",2,"GO:0003723; RNA binding; function GO:0006396; RNA processing; process                NA"
"142","GALGAL_R00162","GALGAL_R00162",1,"GO:0005515; protein binding; function                 NA"
"143","GALGAL_R00163","GALGAL_R00163",1,"GO:0008270; zinc ion binding; function                 NA"
"144","GALGAL_R00164","GALGAL_R00164",4,"GO:0016020; membrane; component GO:0022857; transmembrane transporter activity; function GO:0055085; transmembrane transport; process GO:1902475; L-alpha-amino acid transmembrane transport; process              NA"
"145","GALGAL_R00165","GALGAL_R00165",3,"GO:0004252; serine-type endopeptidase activity; function GO:0006508; proteolysis; process GO:0008236; serine-type peptidase activity; function               NA"
"146","GALGAL_R00166","GALGAL_R00166",7,"GO:0004930; G-protein coupled receptor activity; function GO:0004945; angiotensin type II receptor activity; function GO:0006954; inflammatory response; process GO:0007186; G-protein coupled receptor signaling pathway; process GO:0016021; integral component of membrane; component GO:0042981; regulation of apoptotic process; process GO:0097746; regulation of blood vessel diameter; process           NA"
"147","GALGAL_R00167","GALGAL_R00167",2,"GO:0005085; guanyl-nucleotide exchange factor activity; function GO:0007264; small GTPase mediated signal transduction; process                NA"
"148","GALGAL_R00168","GALGAL_R00168",3,"GO:0004672; protein kinase activity; function GO:0005524; ATP binding; function GO:0006468; protein phosphorylation; process               NA"
"149","GALGAL_R00169","GALGAL_R00169",5,"GO:0004888; transmembrane signaling receptor activity; function GO:0004930; G-protein coupled receptor activity; function GO:0007166; cell surface receptor signaling pathway; process GO:0007186; G-protein coupled receptor signaling pathway; process GO:0016021; integral component of membrane; component             NA"
"150","GALGAL_R00170","GALGAL_R00170",1,"GO:0003676; nucleic acid binding; function                 NA"
"151","GALGAL_R00171","GALGAL_R00171",1,"GO:0016021; integral component of membrane; component                 NA"
"152","GALGAL_R00172","GALGAL_R00172",5,"GO:0016020; membrane; component GO:0016175; superoxide-generating NADPH oxidase activity; function GO:0016491; oxidoreductase activity; function GO:0042554; superoxide anion generation; process GO:0055114; oxidation-reduction process; process             NA"
"153","GALGAL_R00173","GALGAL_R00173",3,"GO:0006886; intracellular protein transport; process GO:0006887; exocytosis; process GO:0017137; Rab GTPase binding; function               NA"
"154","GALGAL_R00174","GALGAL_R00174",5,"GO:0005092; GDP-dissociation inhibitor activity; function GO:0005968; Rab-protein geranylgeranyltransferase complex; component GO:0006886; intracellular protein transport; process GO:0007264; small GTPase mediated signal transduction; process GO:0018344; protein geranylgeranylation; process             NA"
"155","GALGAL_R00175",NA,NA,"                 NA"
"156","GALGAL_R00176","GALGAL_R00176",1,"GO:0005515; protein binding; function                 NA"
"157","GALGAL_R00177","GALGAL_R00177",4,"GO:0005247; voltage-gated chloride channel activity; function GO:0006821; chloride transport; process GO:0016020; membrane; component GO:0055085; transmembrane transport; process              NA"
"158","GALGAL_R00178","GALGAL_R00178",9,"GO:0004888; transmembrane signaling receptor activity; function GO:0004890; GABA-A receptor activity; function GO:0005216; ion channel activity; function GO:0005230; extracellular ligand-gated ion channel activity; function GO:0006811; ion transport; process GO:0006821; chloride transport; process GO:0007214; gamma-aminobutyric acid signaling pathway; process GO:0016021; integral component of membrane; component GO:0034220; ion transmembrane transport; process         NA"
"159","GALGAL_R00179","GALGAL_R00179",8,"GO:0004888; transmembrane signaling receptor activity; function GO:0004890; GABA-A receptor activity; function GO:0005216; ion channel activity; function GO:0005230; extracellular ligand-gated ion channel activity; function GO:0006811; ion transport; process GO:0016020; membrane; component GO:0016021; integral component of membrane; component GO:0034220; ion transmembrane transport; process          NA"
"160","GALGAL_R00180","GALGAL_R00180",4,"GO:0007275; multicellular organism development; process GO:0009966; regulation of signal transduction; process GO:0016020; membrane; component GO:0061564; axon development; process              NA"
"161","GALGAL_R00181","GALGAL_R00181",1,"GO:0005509; calcium ion binding; function                 NA"
"162","GALGAL_R00182","GALGAL_R00182",6,"GO:0004438; phosphatidylinositol-3-phosphatase activity; function GO:0004725; protein tyrosine phosphatase activity; function GO:0010506; regulation of autophagy; process GO:0016311; dephosphorylation; process GO:0046856; phosphatidylinositol dephosphorylation; process GO:0052629; phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity; function            NA"
"163","GALGAL_R00183","GALGAL_R00183",1,"GO:0005515; protein binding; function                 NA"
"164","GALGAL_R00184","GALGAL_R00184",3,"GO:0005089; Rho guanyl-nucleotide exchange factor activity; function GO:0005515; protein binding; function GO:0035023; regulation of Rho protein signal transduction; process               NA"
"165","GALGAL_R00185","GALGAL_R00185",5,"GO:0003677; DNA binding; function GO:0005634; nucleus; component GO:0006355; regulation of transcription, DNA-templated; process GO:0007275; multicellular organism development; process GO:0043565; sequence-specific DNA binding; function             NA"
"166","GALGAL_R00186",NA,NA,"                 NA"
"167","GALGAL_R00187","GALGAL_R00187",5,"GO:0005887; integral component of plasma membrane; component GO:0015349; thyroid hormone transmembrane transporter activity; function GO:0016021; integral component of membrane; component GO:0055085; transmembrane transport; process GO:0070327; thyroid hormone transport; process             NA"
"168","GALGAL_R00188",NA,NA,"                 NA"
"169","GALGAL_R00189","GALGAL_R00189",4,"GO:0005104; fibroblast growth factor receptor binding; function GO:0005576; extracellular region; component GO:0008083; growth factor activity; function GO:0008543; fibroblast growth factor receptor signaling pathway; process              NA"
"170","GALGAL_R00190",NA,NA,"                 NA"
"171","GALGAL_R00191","GALGAL_R00191",1,"GO:0035556; intracellular signal transduction; process                 NA"
"172","GALGAL_R00192",NA,NA,"                 NA"
"173","GALGAL_R00193","GALGAL_R00193",2,"GO:0005201; extracellular matrix structural constituent; function GO:0005581; collagen trimer; component                NA"
"174","GALGAL_R00194","GALGAL_R00194",1,"GO:0005515; protein binding; function                 NA"
"175","GALGAL_R00195",NA,NA,"                 NA"
"176","GALGAL_R00196","GALGAL_R00196",1,"GO:0016020; membrane; component                 NA"
"177","GALGAL_R00197",NA,NA,"                 NA"
"178","GALGAL_R00198","GALGAL_R00198",1,"GO:0003676; nucleic acid binding; function                 NA"
"179","GALGAL_R00199",NA,NA,"                 NA"
"180","GALGAL_R00200",NA,NA,"                 NA"
"181","GALGAL_R00201","GALGAL_R00201",2,"GO:0005515; protein binding; function GO:0007165; signal transduction; process                NA"
"182","GALGAL_R00202",NA,NA,"                 NA"
"183","GALGAL_R00203",NA,NA,"                 NA"
"184","GALGAL_R00204",NA,NA,"                 NA"
"185","GALGAL_R00205","GALGAL_R00205",10,"GO:0002237; response to molecule of bacterial origin; process GO:0002755; MyD88-dependent toll-like receptor signaling pathway; process GO:0005515; protein binding; function GO:0006954; inflammatory response; process GO:0007165; signal transduction; process GO:0016021; integral component of membrane; component GO:0034134; toll-like receptor 2 signaling pathway; process GO:0045087; innate immune response; process GO:0050707; regulation of cytokine secretion; process GO:0050729; positive regulation of inflammatory response; process        NA"
"186","GALGAL_R00206",NA,NA,"                 NA"
"187","GALGAL_R00207","GALGAL_R00207",1,"GO:0003676; nucleic acid binding; function                 NA"
"188","GALGAL_R00208","GALGAL_R00208",6,"GO:0004383; guanylate cyclase activity; function GO:0006182; cGMP biosynthetic process; process GO:0009190; cyclic nucleotide biosynthetic process; process GO:0016849; phosphorus-oxygen lyase activity; function GO:0020037; heme binding; function GO:0035556; intracellular signal transduction; process            NA"
"189","GALGAL_R00209","GALGAL_R00209",6,"GO:0004930; G-protein coupled receptor activity; function GO:0005515; protein binding; function GO:0007165; signal transduction; process GO:0007186; G-protein coupled receptor signaling pathway; process GO:0016020; membrane; component GO:0016021; integral component of membrane; component            NA"
